Sl.No.,Name,Total-Student,Girl,Percentage of Girl,Total-Teacher,Female,Percenage of  Female,TSR
39,SYLHET INTERNATIONAL UNIVERSITY,4670,1017,21.78,103,22,21.36,1:45
40,THE MILLENNIUM UNIVERSITY,851,240,28.2,55,17,30.91,1:15
41,CENTRAL WOMEN'S UNIVERSITY,241,241,100,23,10,43.48,1:10
42,THE PEOPLES UNIVERSITY OF BANGLADESH,7784,1896,24.36,122,39,31.97,1:64
43,"INTERNATIONAL ISLAMIC UNIVERSITY, CHITTAGONG",9756,3503,35.91,365,40,10.96,1:27
44,"B.G.C TRUST UNIVERSITY, BANGLADESH",6252,1314,21.02,137,61,44.53,1:46
45,NORTHERN UNIVERSITY BANGLADESH,8458,2488,29.42,306,89,29.08,1:28
46,SOUTHERN UNIVERSITY OF BANGLADESH,4145,819,19.76,153,49,32.03,1:27
47,IBAIS UNIVERSITY,2030,319,15.71,180,39,21.67,1:11
48,ATISH DIPANKAR UNIVERSITY OF SCIENCE AND TECHNOLOGY,18319,1782,9.73,310,80,25.81,1:59
49,DHAKA INTERNATIONAL UNIVERSITY,6342,0,0,200,48,24,1:32
50,PRIME UNIVERSITY,4629,953,20.59,165,42,25.45,1:28
51,ASIAN UNIVERSITY OF BANGLADESH,10820,3140,29.02,199,83,41.71,1:54
52,DARUL IHSAN UNIVERSITY,2226,614,27.58,65,18,27.69,1:34
53,EUROPEAN UNIVERSITY OF BANGLADESH,543,72,13.26,60,14,23.33,1:09
54,BARENDRA UNIVERSITY,536,174,32.46,50,14,28,1:11
55,HAMDARD UNIVERSITY OF BANGLADESH,274,45,16.42,38,7,18.42,1:07
56,BGMEA UNIVERSITY OF Fashion AND TECHNOLOGY(BUFT),3541,275,7.77,78,25,32.05,1:45
57,NORTH EAST UNIVERSITY BANGLADESH,972,266,27.37,62,6,9.68,1:16
58,"FIRST CAPITAL UNIVERSITY OF BANGLADESH, Chuadanga",523,948,181.26,33,3,9.09,1:16
59,"ISHAKHA INTERNATIONAL UNIVERSITY, BANGLADESH",715,220,30.77,32,3,9.38,1:22
60,Z .H. SIKDER UNIVERSITY OF SCIENCE AND TECHNOLOGY,772,258,33.42,40,5,12.5,1:19
61,*EXIM BANK AGRICULTURAL UNIVERSITY OF BANGLADESH,0,0,,,,,
62,NORTH WESTERN UNIVERSITY,1831,450,24.58,50,9,18,1:37
63,KHWAJA YOUNUS ALI UNIVERSITY,150,36,24,49,7,14.29,1:03
64,SONARGAON UNIVERSITY,581,47,8.09,77,3,3.9,1:08
65,FENI UNIVERSITY,325,84,25.85,21,4,19.05,1:15
66,BRITANIA UNIVERSITY,534,131,24.53,13,0,0,1:41
67,PORT CITY INTERNATIONAL UNIVERSITY,475,47,9.89,41,5,12.2,1:12
68,BANGLADESH UNIVERSITY OF HEALTH SCIENCES,181,74,40.88,98,56,57.14,1:02
69,CHITTAGONG INDEPENDENT UNIVERSITY,219,97,44.29,24,6,25,1:13
70,*NOTRE DAME  UNIVERSITY BANGLADESH,270,104,38.52,31,10,32.26,1:09
71,*TIMES UNIVERSITY OF BANGLADESH,0,0,,3,0,0,NA
72,NORTH BANGAL INTERNATIONAL UNIVERSITY,755,170,22.52,43,17,39.53,1:18
73,*FAREAST INTERNATIONAL UNIVERSITY,304,45,14.8,51,19,37.25,1:06
74,*RAJSHAHI SCIENCE AND TECHNOLOGY UNIVERSITY (RSTU),NA,NA,NA,NA,NA,NA,NA
75,*SHEIKH FAZILATUNNESSA MUJIB UNIVERSITY,NA,NA,NA,24,3,12.5,NA
76,*COX'S BAZAR INERNATIONAL UNIVERSITY,404,92,22.77,NA,NA,NA,NA
77,*RANADA PRASAD SAHA UNIVERSITY,41,27,65.85,NA,NA,NA,NA
78,"JARMAN UNIVERSITY ,BANGLADESH",NA,NA,NA,NA,NA,NA,NA
,Total,399182,106629,26.71,12522,3684,29.42,21:07
