Sl.No.,Name,Year of establishment,Faculty,Department,Inst.
69,CHITTAGONG INDEPENDENT UNIVERSITY,6/2/2013,3,14,
70,*NOTRE DAME  UNIVERSITY BANGLADESH,1/1/2013,,,0
71,*TIMES UNIVERSITY OF BANGLADESH,16/06/2013,,,
72,NORTH BANGAL INTERNATIONAL UNIVERSITY,15/09/2013,3,10,0
73,*FAREAST INTERNATIONAL UNIVERSITY,1/1/2013,,30,
74,*RAJSHAHI SCIENCE AND TECHNOLOGY UNIVERSITY (RSTU),6/10/2013,,,
75,*SHEIKH FAZILATUNNESSA MUJIB UNIVERSITY,1/12/2012,,,
76,*COX'S BAZAR INERNATIONAL UNIVERSITY,12/5/2013,,,
77,*RANADA PRASAD SAHA UNIVERSITY,21/05/2013,4,6,
78,"JARMAN UNIVERSITY ,BANGLADESH",1/1/2013,,,
